theme,url,img,lines,author
LOVE,/inspirational-quotes/8305-love-does-not-dominate-it-cultivates,https://assets.passiton.com/quotes/quote_artwork/8305/medium/20220218_friday_quote.jpg?1644611843,Love does not dominate; it cultivates.,<Author:0x000055d6e06d2588>
LOVE,/inspirational-quotes/6753-there-is-nothing-i-would-not-do-for-those-who,https://assets.passiton.com/quotes/quote_artwork/6753/medium/20220217_thursday_quote.jpg?1644611821,"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",<Author:0x000055d6e0717db8>
LOVE,/inspirational-quotes/7685-love-in-action-is-service,https://assets.passiton.com/quotes/quote_artwork/7685/medium/20220216_wednesday_quote.jpg?1644611788,Love in action is service.,<Author:0x000055d6e073eb48>
LOVE,/inspirational-quotes/7444-where-there-is-love-there-is-life,https://assets.passiton.com/quotes/quote_artwork/7444/medium/20220215_tuesday_quote_alternate.jpg?1644612053,Where there is love there is life.,<Author:0x000055d6e0789968>
LOVE,/inspirational-quotes/7439-at-the-touch-of-love-everyone-becomes-a-poet,https://assets.passiton.com/quotes/quote_artwork/7439/medium/20220214_monday_quote.jpg?1644611729,At the touch of love everyone becomes a poet.,<Author:0x000055d6e07b0c20>
FRIENDSHIP,/inspirational-quotes/8304-a-friend-may-be-waiting-behind-a-stranger-s-face,https://assets.passiton.com/quotes/quote_artwork/8304/medium/20220211_friday_quote_updated.jpg?1644000491,A friend may be waiting behind a stranger’s face.,<Author:0x000055d6e0887a18>
FRIENDSHIP,/inspirational-quotes/3331-wherever-we-are-it-is-our-friends-that-make,https://assets.passiton.com/quotes/quote_artwork/3331/medium/20220210_thursday_quote_updated.jpg?1644000474,"Wherever we are, it is our friends that make our world.",<Author:0x000055d6e093b1a8>
FRIENDSHIP,/inspirational-quotes/8303-find-a-group-of-people-who-challenge-and,https://assets.passiton.com/quotes/quote_artwork/8303/medium/20220209_wednesday_quote_updated.jpg?1644000457,"Find a group of people who challenge and inspire you; spend a lot of time with them, and it will change your life.",<Author:0x000055d6e09884a8>
FRIENDSHIP,/inspirational-quotes/8302-there-s-not-a-word-yet-for-old-friends-who-ve,https://assets.passiton.com/quotes/quote_artwork/8302/medium/20220208_tuesday_quote_updated.jpg?1644000442,There’s not a word yet for old friends who’ve just met.,<Author:0x000055d6e09ab4f8>
FRIENDSHIP,/inspirational-quotes/7435-there-are-good-ships-and-wood-ships-ships-that,https://assets.passiton.com/quotes/quote_artwork/7435/medium/20220207_monday_quote_updated.jpg?1644000426,"There are good ships and wood ships, ships that sail the sea, but the best ships are friendships, may they always be!",<Author:0x000055d6e09cc900>
PERSISTENCE,/inspirational-quotes/6377-at-211-degrees-water-is-hot-at-212-degrees,https://assets.passiton.com/quotes/quote_artwork/6377/medium/20220204_friday_quote.jpg?1643401767,"At 211 degrees, water is hot. At 212 degrees, it boils. And with boiling water, comes steam. And with steam, you can power a train. ",<Author:0x000055d6e09fdf28>
PERSISTENCE,/inspirational-quotes/8301-the-key-of-persistence-opens-all-doors-closed,https://assets.passiton.com/quotes/quote_artwork/8301/medium/20220203_thursday_quote.jpg?1643401731,The key of persistence opens all doors closed by resistance.,<Author:0x000055d6e0a18760>
PERSISTENCE,/inspirational-quotes/7918-you-keep-putting-one-foot-in-front-of-the,https://assets.passiton.com/quotes/quote_artwork/7918/medium/20220202_wednesday_quote.jpg?1643401582,"You keep putting one foot in front of the other, and then one day you look back and you've climbed a mountain.",<Author:0x000055d6e0a54b20>
PERSISTENCE,/inspirational-quotes/7919-to-persist-with-a-goal-you-must-treasure-the,https://assets.passiton.com/quotes/quote_artwork/7919/medium/20220201_tuesday_quote.jpg?1643401538,"To persist with a goal, you must treasure the dream more than the costs of sacrifice to attain it.",<Author:0x000055d6e0a78340>
PERSISTENCE,/inspirational-quotes/8300-failure-cannot-cope-with-persistence,https://assets.passiton.com/quotes/quote_artwork/8300/medium/20220131_monday_quote.jpg?1643401488,Failure cannot cope with persistence.,<Author:0x000055d6e0aabdf8>
INSPIRATION,/inspirational-quotes/8298-though-no-one-can-go-back-and-make-a-brand-new,https://assets.passiton.com/quotes/quote_artwork/8298/medium/20210128_friday_quote.jpg?1642807064,"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending.",<Author:0x000055d6e0ad9aa0>
INSPIRATION,/inspirational-quotes/8297-a-highly-developed-values-system-is-like-a,https://assets.passiton.com/quotes/quote_artwork/8297/medium/20210127_thursday_quote.jpg?1642807024,A highly developed values system is like a compass. It serves as a guide to point you in the right direction when you are lost.,<Author:0x000055d6e0b09520>
INSPIRATION,/inspirational-quotes/7066-just-don-t-give-up-trying-what-you-really-want,https://assets.passiton.com/quotes/quote_artwork/7066/medium/20210126_wednesday_quote.jpg?1642807000,"Just don’t give up trying what you really want to do. Where there is love and inspiration, I don’t think you can go wrong.",<Author:0x000055d6e0b39a40>
